Placeholder,Placeholder (no brackets),Field Name (pretty label),Phase,Section in Report Where Used,Source,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,Auto populates (human info only),derivation_type,cascade_family
_metadata,3.2.3,,,,,,,,,,,,,,,,,,,,,,,,,
{{ ac_report_url }},ac_report_url,AC Inspection Report URL,API,5,ACIR,Yes,Give the exact weblink for the Air Conditioning Inspection Report that you have used,Insert 'Data unavailable or inconclusive',None,1,5,Weblink,Auto-populated from ACIR lookup during EPC phase. Fallback: https://find-energy-certificate.service.gov.uk/find-a-non-domestic-certificate/search-by-postcode,No,Yes,Yes,String,Yes,Lower case,Yes,Weblink only,https://find-energy-certificate.service.gov.uk/energy-certificate/0610-6043-0230-3420-8026,N/A,Yes,auto,acir
{{ address_line_1 }},address_line_1,Address,Init,Header and Section 1,OS_PLACES,Yes,First line of address,"None, mandatory",None,0,10,"Short, factual",Auto-populated from OS Places API via /address. Do not adjust even if user insists,No,No,Yes,String,Yes,Leading caps,No,,123 Oxford Street,N/A,Yes,auto,address
{{ building_name }},building_name,Building Name,Base build,1,(review),Yes,The name of the building.,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Auto-populated from session data. The official or commonly used name of the building. If not known, derive from address. Fallback, use {{ address_line_1 }}",No,Yes,Yes,String,Yes,Leading caps,No,,10 Downing Street,N/A,Yes,auto,
{{ breeam_commentary }},breeam_commentary,BREEAM Commentary,API,12,GPT,No,"Certification commentary synthesising BREEAM data for CRE context. If certified: note rating, scheme, date, asset positioning. If not certified: frame as retrofit opportunity. Include neighbourhood BREEAM density if available in the response (nearby_certs count) — compare subject to local peer set.",Insert 'Data unavailable or inconclusive',breeam_rating,25,150,"Descriptive, factual, expository","Using BREEAM API call information above, provie comments on the BREEAM certification. If certified: note rating, scheme, date. If not certified: normal for older stock, frame as retrofit opportunity. If neighbourhood density data is available (nearby_certs count or nearby_summary in the response), note how the subject compares to its local peer set — e.g. 'The building is not certified, but N nearby buildings hold BREEAM certifications, indicating an area where sustainability credentials are common among peers.'",No,Yes,No,String,Yes,Initial caps,No,Neighbourhood density data comes from the BREEAM API response context.nearby_certs and context.nearby_summary fields. Use it to contextualise the certification status.,"BREEAM Excellent (BREEAM-0048-0335, Offices, 2013). Strong sustainability credential for a 2010s office. 116 nearby certified buildings indicate an area where BREEAM certification is common among peers.",N/A,No,llm_derived,
{{ breeam_rating }},breeam_rating,BREEAM Rating,API,12,BREEAM,No,Current BREEAM certification rating from the BREEAM register. Stored after API lookup (exact match) or after user confirmation (proximity match). Not certified is valid — it means the building has no BREEAM certification.,Insert 'Data unavailable or inconclusive',None,1,5,"Short, factual","Auto-populated from BREEAM API via /breeam. For proximity matches, only stored after user confirms. Do not store until confirmation received.",No,No,Yes,"ENUM: Outstanding, Excellent, Very Good, Good, Pass, Unclassified, Not certified",Yes,Leading caps,Yes,Enum-constrained. Must be one of the 7 valid values. 'Not certified' is the correct value when no certification exists — do not append neighbourhood counts or qualifiers.,Excellent,Outstanding,Yes,auto,breeam
{{ cert_target_breeam }},cert_target_breeam,BREEAM,Strategy,11,GPT,Yes,"State the target rating (e.g., ""outstanding""), derived from you analysis and detailed assessment using the BREEAM scoring system. ",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Run a credit-by-credit BREEAM assessment and state the predicted post-retrofit rating. Output just the rating (ENUM: Outstanding, Excellent, Very Good, Good). Follow PIPE.ANALYSIS.BREEAM.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now.",No,Yes,No,"ENUM: Outstanding, Excellent, Very Good, Good, no rating",Yes,All caps,No,,Outstanding ,Outstanding,No,llm_derived,
{{ cert_target_breeam_comments }},cert_target_breeam_comments,BREEAM,Strategy,11,GPT,Yes,"Detail on your assessment. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository","For the target BREEAM certification, report which credit categories may score well, which score poorly, confidence level, and scope for improvement. Follow PIPE.ANALYSIS.BREEAM.001 in pipe_companion.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now. MUST use context_binder_trade*.pdfs. State confidence - DO NOT FABRICATE insights that are not backed up by facts.",No,Yes,No,String,Yes,Initial caps,No,,"Credit-by-credit DFP assessment indicates BREEAM Very Good is achievable with the proposed retrofit scope, scoring ~55-58% via Ene 01 (heat-pump decarbonisation, ~12 credits predicted), Man 04 commissioning (~6 credits), Mat 02 responsible sourcing (~4 credits), and Hea 01 daylight (~3 credits). BREEAM Excellent (70%+) would require additional Ene 01 credits beyond the current heat-pump + PV package, plus Wat 01 metering upgrades and Hea 02 indoor air-quality improvements. Confidence moderate — Hea 01 depends on structural decisions still in design development, and Mat 02 hinges on product specification not yet locked. Scope for improvement: adding M&O post-occupancy commissioning plus enhanced BMS analytics could add 3-4 points and push toward Excellent.",N/A,No,llm_derived,
{{ cert_target_epc }},cert_target_epc,EPC,Strategy,11,GPT,Yes,"State the target rating (e.g., ""A""), derived from you analysis and detailed assessment using  EPC assesment tools",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Predict the post-retrofit EPC rating letter using the proposed interventions and SBEM assessment logic. Output just the letter (ENUM: A, B, C, D, E). Follow PIPE.ANALYSIS.EPC.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now.",No,Yes,No,"ENUM: A, B, C, D, E, F, G",Yes,All caps,No,,A,EPC A,No,llm_derived,
{{ cert_target_epc_comments }},cert_target_epc_comments,EPC,Strategy,11,GPT,Yes,"Detail on your assessment. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository","Detail which EPC assessment areas improved, which remain weak, confidence in the predicted rating, and scope for further improvement. Follow PIPE.ANALYSIS.EPC.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now. MUST use context_binder_trade*.pdfs. State confidence - DO NOT FABRICATE insights that are not backed up by facts.",No,Yes,No,String,Yes,Initial caps,No,,"Predicted post-retrofit EPC B (score 42) per SBEM modelling of the proposed intervention package. The HVAC replacement (ASHP + enhanced BMS controls) dominates the score improvement, contributing ~15 points via primary-energy reduction; fabric upgrades (selective curtain-wall reglazing) add ~5 points; LED lighting rollout adds ~3 points; 200 kWp PV adds a further 2-4 points depending on final sizing. Confidence: high for the building-services contribution (SBEM-verified against manufacturer efficiency curves), moderate for fabric (U-value assumptions drawn from CIBSE Guide F rather than measured). Scope for further improvement: full lighting retrofit with presence detection on all floors could add 2-3 points; PV expansion if DNO connection upgrade secured adds another 2-4. EPC A would likely require full curtain-wall replacement.",N/A,No,llm_derived,
{{ cert_target_nabers }},cert_target_nabers,NABERS UK,Strategy,11,GPT,Yes,"State the target rating (e.g., ""5.0 stars""), derived from you analysis and detailed assessment using the NABERS  system. ",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Run a Design for Performance simulation and state the predicted post-retrofit NABERS star rating. Output just the rating (5.5, 5.0, 4.5, 4.0, 3.5, 3.0). Follow PIPE.ANALYSIS.NABERS.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now.",No,Yes,No,"ENUM: 5.5, 5.0, 4.5, 4.0, 3.5, no rating",Yes,N/A,No,,5,5.0 stars,No,llm_derived,
{{ cert_target_nabers_comments }},cert_target_nabers_comments,NABERS UK,Strategy,11,GPT,Yes,"Detailed analysis. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository","Detail the DFP assessment findings: which performance areas drive the rating, where confidence is low or high, and scope for better results. Follow PIPE.ANALYSIS.NABERS.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now. MUST use context_binder_trade*.pdfs. State confidence - DO NOT FABRICATE insights that are not backed up by facts.",No,Yes,No,String,Yes,Initial caps,No,,"NABERS UK 5.0 stars achievable per Design for Performance modelling of the retrofit scope. Primary rating drivers: end-use submetering (13 panels per floor), ASHP efficiency (SCOP 3.8), enhanced BMS controls with optimum-start and adaptive setpoints, plus commissioning to CIBSE Commissioning Code M standards. Confidence moderate — NABERS is an operational rating, so realised rating depends heavily on tenant operational behaviour, full commissioning quality, and adequate M&V data capture over the 12-month measurement period. Scope for improvement: a 6-month soft-landing period post-retrofit with the M&V contractor in close contact with WPP facilities would likely push the rating to 5.5 stars. Scope for degradation: without attention to tenant energy discipline, realised rating could fall to 4.5 stars despite the modelled 5.0.",N/A,No,llm_derived,
{{ cert_target_well }},cert_target_well,WELL V2,Strategy,11,GPT,Yes,"State the target rating (e.g., ""platinum""), derived from you analysis and detailed assessment using the WELL V2 scoring system. ",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Run a WELL V2 credit-by-credit simulation and state the predicted post-retrofit certification tier. Output just the rating (ENUM: Platinum, Gold, Silver, Not rated). Follow PIPE.ANALYSIS.WELL.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now. State confidence - DO NOT FABRICATE insights that are not backed up by facts.",No,Yes,No,"ENUM: Platinum, Gold, Silver, no rating ",Yes,Leading caps,No,,Target Platinum,Platinum,No,llm_derived,
